session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
619f7e090ec0442b980e9ead,5dcea4c3bc83380fe65dba2a,AWAITING REVIEW,2021-11-25 12:14:05.044000,2021-11-25 12:34:08.692000,1203.648,58,1624,4,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f7e57abd1c18f0e97271e,60fbed5d2532f7768e7b5a29,AWAITING REVIEW,2021-11-25 12:15:30.971000,2021-11-25 12:40:39.113000,1508.142,50,358,0,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f7e9ee27364cfce29a553,60a9b8f7b9748b9999090dd8,AWAITING REVIEW,2021-11-25 12:16:32.014000,2021-11-25 12:40:42.998000,1450.984,19,157,0,100,,E11857CB,United States,United States,Unemployed (and job seeking),White,English,United States,Male,Yes
619f7eb5d0c902219fd9c3d9,5efa98dd74af25000cdbbf43,RETURNED,2021-11-25 12:27:00.049000,,337960.389451,21,370,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f7f1f23b1a5995a157875,5f489766dbc4a2364c0f4f93,AWAITING REVIEW,2021-11-25 12:19:09.270000,2021-11-25 13:16:29.633000,3440.363,63,796,4,100,,E11857CB,United States,United States,Other,White,English,United States,Female,No
619f7f49b58a5330f9307806,616c7777b6a2486957bafbf0,AWAITING REVIEW,2021-11-25 12:20:18.039000,2021-11-25 13:47:12.602000,5214.563,63,85,0,100,,E11857CB,Ukraine,United States,Full-Time,White,Russian,United States,Female,No
619f7f928028d1dd7e3cabdf,600dcdff34fef66077146d8e,AWAITING REVIEW,2021-11-25 12:20:40.111000,2021-11-25 12:40:14.240000,1174.129,23,632,5,99,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f7f9cf7c16f8042c68c55,5fb0a3d6a8e4224b973e750b,AWAITING REVIEW,2021-11-25 12:20:47.760000,2021-11-25 12:52:53.585000,1925.825,23,239,3,99,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f7ff8bf0d8d3f121acc6d,5a80e46a2a842c0001fc913f,RETURNED,2021-11-25 12:22:18.612000,,338242.01487,64,1324,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f8043d5e89e0da4ce1f7c,60bd28cc95ab27d4f4f6ada3,AWAITING REVIEW,2021-11-25 12:23:40.445000,2021-11-25 12:50:32.193000,1611.748,54,548,0,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f804ba92a63ea673f5eca,5d34de398f657e00150dd0d5,AWAITING REVIEW,2021-11-25 12:23:45.614000,2021-11-25 13:09:25.128000,2739.514,60,1252,2,100,,E11857CB,United States,United States,Unemployed (and job seeking),White,English,United States,Male,No
619f8059618ddca4aeaf113d,5d697ea28572fc000126b779,AWAITING REVIEW,2021-11-25 12:23:58.236000,2021-11-25 13:08:34.321000,2676.085,56,1173,7,99,,E11857CB,United States,United States,DATA EXPIRED,Black,English,United States,Female,DATA EXPIRED
619f805e7f21f43cc5bc72ac,5cb882d33f0af9000159e00f,AWAITING REVIEW,2021-11-25 12:24:01.783000,2021-11-25 13:02:37.369000,2315.586,59,1893,9,99,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
619f809442ea8ff1adc1e565,60bd784514215b77d2a0f4d8,AWAITING REVIEW,2021-11-25 12:33:36.518000,2021-11-25 13:28:04.583000,3268.065,39,190,2,100,,E11857CB,Nigeria,United States,Full-Time,Black,English,United States,Male,No
